hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
30757124484,Illinois,LOCAL,School Board,Morris School Board 101,2025-04-01,1.0800000000,Won General,1822.0000000000,8745.0000000000
23040700734,South Carolina,LOCAL,School Board,McCormick County School Board,2024-11-05,1.5700000000,Lost General,1356.0000000000,13961.0000000000
30302629811,Missouri,CITY,City Council,city council,2025-04-01,4.9900000000,Won General,null,null
34668414532,Texas,CITY,Mayor,Eagle Pass Mayor,2027-05-01,3.1700000000,Runoff,null,null
30300762667,Vermont,CITY,Clerk/Treasurer,Burlington City Ward Clerk - Ward 7,2025-03-04,3.6100000000,Lost General,585.0000000000,1360.0000000000
36619397467,Utah,Local,Town Council,Town Council,2025-11-04,1.7100000000,Lost General,36.0000000000,176.0000000000
25009276672,California,CITY,City Council,Solvang City Council,2024-11-05,4.9900000000,Won General,403.0000000000,403.0000000000
32335006015,New Jersey,LOCAL,School Board,Woodlynne Borough School Board,2025-11-04,2.7800000000,Not on Ballot,null,null
18899627803,Texas,CITY,City Council,Carrollton City Council - Place 1,2024-05-04,0.9400000000,Lost General,null,null
39127533232,Ohio,CITY,City Council,Troy City Council - Ward 5,2025-11-04,2.1200000000,Won General,null,null
39296862116,Georgia,Local,City Council,Emerson City Council ,2025-11-04,3.6600000000,Won General,193.0000000000,552.0000000000
39366991662,Colorado,CITY,City Council,Federal Heights City Council - Ward 2,2025-11-04,3.1700000000,Won General,null,null
40242165944,Iowa,CITY,City Council,Huxley City Council,2025-11-04,null,Won General,null,null
31971624722,New Jersey,CITY,Mayor,Westfield Town Mayor,2025-11-04,1.5300000000,Not on Ballot,null,null
30932841826,Georgia,null,null,City Council,2025-11-04,null,Not on Ballot,null,null
23778551150,Iowa,LOCAL,Town Council,Story County: Milford Township Trustee,2024-11-05,5.0000000000,Won General,274.0000000000,278.0000000000
42197841226,Kansas,CITY,City Council,Topeka City Council - District 3,2025-11-04,null,Lost General,364.0000000000,846.0000000000
33138223800,Oregon,LOCAL,Other,Vineyard Mountain Parks and Recreation District Board - Position 2,2025-05-20,5.0000000000,Won General,null,null
23568105524,Michigan,CITY,Town Council,Homer Village Board,2024-11-05,5.0000000000,Won General,434.0000000000,857.0000000000
39581888777,New Mexico,CITY,Judge,Sunland Park Municipal Court Judge,2025-11-04,1.5200000000,Won General,null,null
33144680481,Massachusetts,LOCAL,Other,Mashpee Town Library Board,2025-05-20,5.0000000000,Won General,1681.0000000000,4104.0000000000
26292729947,Ohio,CITY,City Council,Columbus City Council District 7,2025-11-04,0.5200000000,Not on Ballot,null,null
33072589915,Massachusetts,LOCAL,Other,Health Board,2025-05-08,4.9900000000,Won General,1259.0000000000,1689.0000000000
39554487712,North Carolina,CITY,Town Council,Bethel Town Council,2025-11-04,null,Lost General,null,null
34499215218,South Dakota,CITY,City Council,Aberdeen City Council - SW District,2025-06-03,3.4300000000,Won General,226.0000000000,398.0000000000
30745638943,Wisconsin,CITY,City Council,Marshfield City Council - District 6,2025-04-01,2.5800000000,Won General,274.0000000000,489.0000000000
32858580273,Oregon,LOCAL,Other,Southern Curry Cemetery Maintenance District - Position 1,2025-05-20,5.0000000000,Won General,204.0000000000,336.0000000000
39916029574,Ohio,TOWNSHIP,Town Council,Lucas County: Washington Township Trustee,2025-11-04,3.0700000000,Won General,null,null
29025420207,Texas,null,null,Omigbodun Soji Campaign Organization,2025-01-26,null,Cannot Determine,null,null
23238485766,Minnesota,LOCAL,Clerk/Treasurer,Wabasha County: Zumbro Township Town Supervisor - Seat 3,2024-11-05,1.6700000000,Won General,322.0000000000,395.0000000000
22616916625,Virginia,COUNTY,City Council,Waynesboro City Council - At Large,2024-11-05,3.0800000000,Lost General,4512.0000000000,9463.0000000000
29475122299,Illinois,LOCAL,School Board,Gurnee 56 School Board,2025-04-01,1.9300000000,Won General,2276.0000000000,15568.0000000000
25179471771,California,State,State House,Northern Mariana Islands House of Representatives,2024-11-05,null,Won General,1549.0000000000,15364.0000000000
