hubspot_id,election_date,state,office_level,office_type,n_outreach_rows,viability_score_mean,viability_score_max,latest_outreach,Win,proba_win,pred_win,viability_score_model,viability_bucket_model,viability_bucket_num,viability_bucket_orig,viability_bucket_orig_num,bucket_distance
39218320988,2025-11-04,Minnesota,CITY,Mayor,1,3.26,3.26,,1,0.5705039831597268,1,2.8525199157986343,Has a Chance,3,Likely to Win,4,1
43326514341,2025-11-04,New York,TOWNSHIP,,1,,,,0,0.21447770109961525,0,1.0723885054980762,Unlikely to Win,2,,0,2
23754378831,2024-11-05,Arizona,LOCAL,Utilities Commissioner,1,1.43,1.43,,0,0.6272782817999977,1,3.1363914089999883,Likely to Win,4,Unlikely to Win,2,2
40066119039,2025-11-04,Ohio,CITY,Mayor,1,1.86,1.86,,1,0.5268042204296575,1,2.6340211021482873,Has a Chance,3,Unlikely to Win,2,1
23302524438,2024-11-05,District Of Columbia,Local,Town Council,1,,,,1,0.7079334426689075,1,3.5396672133445373,Likely to Win,4,,0,4
23140087172,2024-11-05,Minnesota,CITY,City Council,1,2.11,2.11,,1,0.6139136638198448,1,3.069568319099224,Likely to Win,4,Has a Chance,3,1
23821367110,2024-11-05,Pennsylvania,State,State House,1,,,,0,0.15719404618245633,0,0.7859702309122817,No Chance,1,,0,1
42721309001,2025-11-04,New York,TOWNSHIP,Mayor,1,,,,0,0.4303828259789278,0,2.151914129894639,Has a Chance,3,,0,3
36950905180,2025-09-16,Florida,CITY,City Council,1,1.82,1.82,,0,0.384404353342838,0,1.9220217667141901,Unlikely to Win,2,Unlikely to Win,2,0
42334467877,2025-11-04,California,,,1,,,,0,0.048853047823023445,0,0.24426523911511722,No Chance,1,,0,1
22579925342,2024-11-05,Rhode Island,LOCAL,School Board,1,3.25,3.25,,1,0.3013143166154628,0,1.506571583077314,Unlikely to Win,2,Likely to Win,4,2
21964606835,2024-11-05,Florida,LOCAL,Utilities Commissioner,1,1.99,1.99,,0,0.567687051222422,1,2.8384352561121102,Has a Chance,3,Unlikely to Win,2,1
22088886038,2024-11-05,Minnesota,COUNTY,County Supervisor,1,1.61,1.61,,1,0.4301176486720493,0,2.1505882433602466,Has a Chance,3,Unlikely to Win,2,1
35235506828,2025-11-04,Michigan,CITY,City Council,1,2.68,2.68,,0,0.3779386457248181,0,1.8896932286240906,Unlikely to Win,2,Has a Chance,3,1
36989289511,2025-11-04,North Carolina,CITY,City Council,1,0.74,0.74,,0,0.4100657722166694,0,2.050328861083347,Has a Chance,3,No Chance,1,2
22979081090,2024-11-05,Minnesota,CITY,Mayor,1,1.68,1.68,,0,0.5360342104108718,1,2.680171052054359,Has a Chance,3,Unlikely to Win,2,1
29309841806,2025-04-01,Illinois,Local,Town Council,1,3.94,3.94,,0,0.6467081706355677,1,3.2335408531778387,Likely to Win,4,Likely to Win,4,0
46857163324,2027-05-03,Connecticut,City,,1,,,,0,0.441706606708717,0,2.208533033543585,Has a Chance,3,,0,3
36492376748,2025-11-04,Utah,Local,Town Council,1,3.3,3.3,,1,0.5822938574718892,1,2.911469287359446,Has a Chance,3,Likely to Win,4,1
31320725284,2025-06-03,Mississippi,CITY,Mayor,1,0.32,0.32,,0,0.2249494263935518,0,1.124747131967759,Unlikely to Win,2,No Chance,1,1
36283997336,2025-11-04,Kansas,LOCAL,School Board,1,1.53,1.53,,0,0.6334191423158825,1,3.1670957115794125,Likely to Win,4,Unlikely to Win,2,2
50330388912,,Pennsylvania,CITY,,1,,,,0,0.4717074797687956,0,2.358537398843978,Has a Chance,3,,0,3
35740915599,2025-11-04,Ohio,CITY,City Council,1,1.22,1.22,,1,0.517531919007612,1,2.58765959503806,Has a Chance,3,Unlikely to Win,2,1
37246582411,2025-11-04,North Carolina,CITY,Town Council,1,2.05,2.05,,0,0.5302568366413364,1,2.651284183206682,Has a Chance,3,Has a Chance,3,0
32646369088,2025-05-03,Texas,CITY,Mayor,1,3.38,3.38,,1,0.32647200721815184,0,1.632360036090759,Unlikely to Win,2,Likely to Win,4,2
23395407272,2024-11-05,California,CITY,City Council,1,2.3,2.3,,0,0.4165173787468617,0,2.0825868937343084,Has a Chance,3,Has a Chance,3,0
25245803657,2024-11-05,Florida,CITY,City Council,1,2.27,2.27,,0,0.39329740010481196,0,1.9664870005240598,Unlikely to Win,2,Has a Chance,3,1
37452009094,2025-11-04,Mississippi,COUNTY,Other,1,0.96,0.96,,0,0.335499977820202,0,1.6774998891010102,Unlikely to Win,2,No Chance,1,1
37654509173,2025-11-04,North Carolina,CITY,Mayor,1,1.38,1.38,,1,0.3503661437034093,0,1.7518307185170465,Unlikely to Win,2,Unlikely to Win,2,0
29388372902,2025-04-01,Wisconsin,LOCAL,School Board,1,3.45,3.45,,0,0.6975942859292174,1,3.4879714296460866,Likely to Win,4,Likely to Win,4,0
22751936903,2025-11-04,Virginia,LOCAL,,1,2.39,2.39,,0,0.11306161306538234,0,0.5653080653269117,No Chance,1,Has a Chance,3,2
30259532388,2025-05-20,Oregon,LOCAL,Utilities Commissioner,1,3.68,3.68,,1,0.7391127626902817,1,3.6955638134514084,Likely to Win,4,Likely to Win,4,0
