hubspot_id,state,office_level,office_type,n_outreach_rows,Win,most_common_outreach_type,election_month,is_midterm,is_presidential,days_between_outreach_and_election,is_normal_election,election_dow_mon,election_dow_tue,election_dow_wed,election_dow_thu,election_dow_fri,election_dow_sat,election_dow_sun
39422578968,Colorado,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
40196419101,Iowa,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
30084732767,,LOCAL,School Board,1,0,,3.0,0,0,99999,0,0,1,0,0,0,0,0
40583283033,Massachusetts,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23250023573,Minnesota,CITY,City Council,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
23621970806,Texas,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
34286113548,North Carolina,CITY,Mayor,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
39131714646,Ohio,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36448501791,Georgia,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
40829059479,Iowa,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31032463965,Texas,LOCAL,School Board,1,0,,5.0,0,0,99999,0,0,0,0,0,0,1,0
30089690200,Mississippi,CITY,City Council,1,0,,6.0,0,0,99999,0,0,1,0,0,0,0,0
31386973545,Wisconsin,LOCAL,Clerk/Treasurer,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
32874739227,Florida,Local,Other,1,1,,5.0,0,0,99999,0,1,0,0,0,0,0,0
34498840199,Ohio,LOCAL,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23824806238,Michigan,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
39646778452,Georgia,Local,City Council,1,1,,11.0,0,0,99999,0,1,0,0,0,0,0,0
38966909738,Colorado,CITY,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38438291623,Montana,CITY,Mayor,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
39087089574,Ohio,CITY,Town Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
21710486610,California,LOCAL,School Board,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
33079486061,Oregon,LOCAL,Other,1,1,,5.0,0,0,99999,0,0,1,0,0,0,0,0
25190441605,Mississippi,COUNTY,Other,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
33683343127,Massachusetts,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23945636143,Kansas,CITY,City Council,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
31216049284,Illinois,CITY,Clerk/Treasurer,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
38802028593,Ohio,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23046970897,Michigan,COUNTY,Other,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
36735425167,Ohio,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38726407734,Ohio,CITY,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
28522918296,Illinois,LOCAL,School Board,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
39519966827,North Carolina,CITY,Town Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
21841773991,Florida,COUNTY,Judge,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
31015955757,Ohio,CITY,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
40616215736,Georgia,CITY,Mayor,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38422495881,Ohio,TOWNSHIP,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31988397129,Massachusetts,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38343436685,Massachusetts,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
39515918138,New Mexico,Local,Other,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
33300102665,Virginia,STATE,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36542668628,Alabama,CITY,City Council,1,1,,8.0,0,0,99999,0,0,1,0,0,0,0,0
42072521581,Iowa,CITY,Mayor,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
32130263822,Texas,CITY,City Council,1,1,,5.0,0,0,99999,0,0,0,0,0,0,1,0
23656255601,North Dakota,STATE,State House,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
29300159310,Pennsylvania,LOCAL,School Board,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23840832949,Michigan,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
22644862323,California,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
35426083105,Washington,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36447852714,Connecticut,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31381113131,Wisconsin,CITY,Town Council,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
